id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12011,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""智邦藝術基金會致力於將藝術村打造為全民共享的藝文場域，兼具教育性與實驗性，並重新為位於市中心邊陲地帶的歷史建築注入新活力。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年，智邦藝術基金會在鐵道藝術村內舉辦了 19 檔藝文展覽和 25 場活動及課程，共吸引 415 名課程參與者，並迎來 31,212 人次參觀。根據 422 份參觀問卷調查結果，58.3% 的參觀者停留時間超過 30 分鐘，51.9% 的受訪者將藝術村選為家庭出遊的目的地，52.6% 對整體空間規劃表示非常滿意，65.8% 則對工作人員的服務態度給予高度肯定。""}<end_of_turn>
<eos>"
12012,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""我國已經將2050年淨零排放的目標立法， ｜ 臺北總部預計於2027年導入，強化企業對於環境與能源的管理。"",""evidence_status"":""Yes"",""evidence_str"":""藥華醫藥也提前布局，早於金管會的要求，完成溫室氣體盤查與查驗；臺中廠已於2024年導入ISO 14001環境管理系統，""}<end_of_turn>
<eos>"
12013,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12014,No,,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為使人員對機械、設備及安全衛生事項實施內部自動檢查，以消除潛在作業危害，"",""evidence_status"":""Yes"",""evidence_str"":""安衛室針對各單位日常作業進行五大重點稽核，包括化學品、機械設備、現場環境、消防設備及廢棄物處置等。2022 年針對公司 17 個現場部門進行查核，共計開立 41 件缺失事項，經分析統計前三大類型依序為：化學品 36.5%、其他 21.9% 及機械設備 / 現場環境 17.0%，其他類型包含防護具及醫藥箱等細項缺失。同時輔導並追蹤單位改善，完成率為 100%。2023 年針對公司 17 個現場部門進行查核，共計開立 63 件缺失事項，經分析統計前三大類型依序為：消防設備 41.3%、化學品 38.1% 及機械設備 / 現場環境 11.1%。同時輔導並追蹤單位"
12015,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""以減緩重大新興風險對本公司之衝擊。"",""evidence_status"":""Yes"",""evidence_str"":""鑒於全球經濟、社會與環境變化迅速，相關衍生之風險議題多元且複雜，除了一般風險外，本公司建置新興風險管理制度，由風險管理小組定期將政策法令制定、自然環境變化、地緣政治影響等來自外部、長期並具有重大衝擊之風險議題，交由經理階層依據可能性和嚴重性進行評選，再由風險管理小組彙整評選前三高之重大新興風險後，交由相關單位進行衡量和提出因應措施，""}<end_of_turn>
<eos>"
12016,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""推動將資安規範及系統架構檢視納入雲端專案變更審查 (Change Advisory Board, CAB) 流程。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12017,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為確保營運資訊系統防護安全之有效性，"",""evidence_status"":""Yes"",""evidence_str"":""本公司在已取得之 ISO 27001 : 2013 年版資訊安全管理系統認證下，除即時掌握資安情資、修補漏洞與精研各項資安相關技術以外，亦透過 SOC、SIEM 等監控機制以掌握資安風險事件。""}<end_of_turn>
<eos>"
12018,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12019,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""台達秉持「環保 節能 愛地球」的經營使命，自公司成立以來，致力提供創新、潔淨與節能的解決方案，創造更美好的明天，承諾「Smarter. Greener. Together. 共創智能綠生活」。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12020,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""透過提升員工的滿意度，進一步推動顧客滿意的提升，最終實現忠誠顧客養成的目標。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12021,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""廣達持續強化風險治理制度，從策略規劃、營運管理到法遵控制等面向，建構完善的風險管理架構與作業流程。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12022,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""參考聯盟所提供「鷹眼識詐模型」，依兆豐銀行自身風險樣貌，加入風險因子，發展成適合兆豐銀行之「預警模型」，透過此模型判斷異常態樣並自主管制，減少人頭帳戶使用建立「鷹眼模型」，透過警示帳戶預先控管率進行防詐。"",""evidence_status"":""Yes"",""evidence_str"":""參考聯盟所提供「鷹眼識詐模型」， ｜ 透過觀察客戶開戶目的及對電子轉帳之積極行為進行觀察，另建置客戶與他人通訊資料相同之異常報表進行檢視。另以系統化規則執行交易事後監控作業，並將人頭帳戶之表徵納入系統態樣調查範圍；此外，針對申請虛擬帳號服務者建立管控機制，並規劃建立自行聯防通報機制，提升阻詐效能。""}<end_of_turn>
<eos>"
12023,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""設立綠色產品團隊推動HSPM管理體系，亦制定無有害物質政策，遵守環保法規，致力污染預防，生產綠色產品，持續循環改善，積極推動限制及終止使用各項有害物質。"",""evidence_status"":""Yes"",""evidence_str"":""奇鋐科技已導入有害物質過程管理系統(HSPM, Hazardous Substance Process Management)並通過驗證機構認證取得IECQ QC080000證書，""}<end_of_turn>
<eos>"
12024,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12025,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為打造珊瑚礁生態系， ｜ 同時推廣珊瑚相關生物知識與海洋生態永續教育及發展。"",""evidence_status"":""Yes"",""evidence_str"":""規劃於和平島放置人工珊瑚礁基座，營造適宜的海洋棲地，藉以吸引多樣海洋生物棲息，""}<end_of_turn>
<eos>"
12026,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""本公司與各子公司持續推動廢棄物再利用，"",""evidence_status"":""Yes"",""evidence_str"":""輔導下游廢棄物再利用業者，將原本屬於本公司的廢棄物，以再利用方式資源化，進而減少廢棄物之最終處置，如：焚化或掩埋。""}<end_of_turn>
<eos>"
12027,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12028,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""國泰人壽為展現對地球生態及環境保護盡一份心力， ｜ 將持續推動永續城市。"",""evidence_status"":""Yes"",""evidence_str"":""2016 年度起自行投資開發之建築物委任建築師設計時，均要求符合綠建築設計，並就 2023 年起取得建照之新建建築全取得美國 LEED 標章或綠建築認證，""}<end_of_turn>
<eos>"
12029,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""期盼能成為台灣邁向淨零排放的助力。"",""evidence_status"":""Yes"",""evidence_str"":""除了企業內部推動淨零行動，日月光投控也透過參與氣候相關行業協會組織，交流最新淨零排放趨勢、進行相關倡議與提供政府制定氣候變遷相關法案參考建議等，""}<end_of_turn>
<eos>"
12030,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12031,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為提升客戶滿意度， ｜ 針對客戶的建議，台塑石化將納入營運政策持續改善，以符合社會大眾的期待。"",""evidence_status"":""Yes"",""evidence_str"":""蒐集客戶對台塑石化提供各項產品及服務之看法及建議，同時為符合 ISO 9001 對客戶品質承諾及重視客戶滿意度之精神，每年至少一次針對其內、外銷客戶進行客戶滿意度調查，依據 2024 年客戶滿意度調查結果，表現均高於 4 分的「滿意」指標，""}<end_of_turn>
<eos>"
12032,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12033,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""大立光提供各類溝通管道以促進勞資雙方之溝通協調，深入瞭解員工對管理與福利制度之滿意度，持續精進良好之勞資關係。"",""evidence_status"":""Yes"",""evidence_str"":""目前勞資會議每季定期開會，職工福利委員與職安委員會亦定期開會，各個勞資溝通組織各司其職，針對不同議題溝通，共同促進勞資和諧與共榮共存而努力，創造勞資互利與雙贏。""}<end_of_turn>
<eos>"
12034,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""超商重視消費者的健康及安全，將食品安全列為第一要務，每年持續投入資源，確保嚴格控管食品安全議題。 ｜ 建立商品安全流程控管機制，以及強化供應鏈之管理，為本公司長期努力的方向。"",""evidence_status"":""Yes"",""evidence_str"":""1. 成立「商品安全委員會」，定期召開例會，討論內容包括政府法規鑑別、代工廠與供應商評鑑缺失、商品安全訊息、食品安全監測計畫及其執行進度等。  2. 為確保上架安全無虞，制定「商品安全訊息蒐集及盤查追蹤作業標準」，蒐集自有商品安全相關訊息，並建立追蹤程序。  3. 導入契作與產地管理、食材溯源機制與系統、供應商分級管理與實地評鑑制度、物流中心與門市端定期查核，以及原物料與商品不定期抽驗等作法，從產地到門市全流程把關，持續為消費者建立嚴謹的食品安全防護網。""}<end_of_turn>
<eos>"
12035,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""達到強化公司治理效果與企業永續發展之目標。"",""evidence_status"":""Yes"",""evidence_str"":""瑞昱董事會成員遵循《上市上櫃公司董事、監察人進修推行要點》參與外部進修，透過強化學習，提升董事專業職能，並與時俱進公司治理以及企業永續經營觀點， ｜ 2024 年董事會外部進修主題包含「迎向 AI 與永續轉型－高階薪酬管理與人才培育」、「第 20 屆(2024) 公司治理國際高峰論壇 - 聚焦治理重心 發揮人才優勢」、「國際金融資安監理趨勢與挑戰」、「自然相關財務揭露 (TNFD) 解析與實務」、「防制洗錢與打擊資恐國際趨勢與實務」、「公司治理論壇-ESG 企業永續經營」、「2024 國泰永續金融暨氣候變遷高峰論壇」、「碳權交易機制與碳管理運用」等專業進修課程，董事合計參與課程共 57 小時。""}<end_of_turn>"
12036,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12037,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""momo自2019年展開永續願景計畫，擘劃「永續生活藍圖」推動公司永續發展。依循「共益夥伴」、「永續消費」、「永續環境」、「友善職場」、「社會共好」五大永續主軸，以「臺灣綠活電商領航者」為承諾，於核心業務多管齊下運用數位賦能，並同步導入科技輔助，積極加速低碳轉型與數位公益發展，持續創造利害關係人共好價值，深化電商平台影響力。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12038,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""未來將持續進行各項節汽節電措施，降低單位產品用汽及用電量。"",""evidence_status"":""Yes"",""evidence_str"":""本公司 2024 年總產能為 28,323 千噸，使用蒸汽 5,754,803 噸，平均每小時用汽量為 655 噸，折算單位用汽量為 0.203 噸 / 噸；全年用電 2,466.4 百萬度，平均每小時用電量 280,786.8 度，折算單位用電量為 87.1 度 / 噸，2024 年單位產品用汽量與用電量均比前一年度增加，主要是受市場需求製程降載或停車待開致產量達成率低。""}<end_of_turn>
<eos>"
12039,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為保障員工身心健康和降低職業災害發生的可能性，各公司皆定期鑑別職業安全衛生危害因子及進行風險評鑑，將職安風險與其他風險一併考量應有的預防措施。"",""evidence_status"":""Yes"",""evidence_str"":""國泰依循職業安全衛生法第十八條，工作者若發現有危險之虞，可自行離開其所認為可能導致傷害或疾病的工作狀態，並立即向直屬主管報告，且工作者免於處分。""}<end_of_turn>
<eos>"
12040,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""本公司也會定期舉辦廠商說明會，加強雙向溝通與宣導。"",""evidence_status"":""Yes"",""evidence_str"":""並建置台塑網電子交易平台採購發包系統，讓所有往來供應商及工程協力廠商，可於系統進行報價、詢議價等多項作業，""}<end_of_turn>
<eos>"
12041,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""華南金資產響應政府都市更新及危老重建政策，攜手華南銀行以及中華建經組成「都更危老華南隊」，結合金融與不動產專業，整合集團資源，滿足地主更全方位的重建需求以提升居住品質及安全性。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12042,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""促進人才永續，提升企業永續競爭力"",""evidence_status"":""Yes"",""evidence_str"":""強化人力資源管理，導入DEI與TIFD等多元共融指標。  ● 建立人才招募與留任策略，推動永續導向培訓與福祉制度。  ● 將永續文化轉化為員工價值主張 (EVP)，深化組織認同感。""}<end_of_turn>
<eos>"
12043,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12044,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為減緩氣候變遷，本公司擬定 2024 年後的短、中、長期因應策略。 ｜ 未來將透過燃煤朝向低（零）碳能源轉型、節能減碳循環經濟、提高再生能源用量及其他減碳措施，來達成漸進式減碳目標。"",""evidence_status"":""Yes"",""evidence_str"":""本公司擬定 2024 年後的短、中、長期因應策略。""}<end_of_turn>
<eos>"
12045,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""向「零危害、零污染」的目標邁進。"",""evidence_status"":""Yes"",""evidence_str"":""員工健康與安全是集團的立身之本，集團嚴格遵循各國當地政府的化學品安全相關法規及客戶的限用物質規範要求，以全程監控為基礎，堅持有害物質「不設計、不採購、不流入、不製造、不產出」的五不原則，對生產營運過程中涉及的化學物質分級管控，最大限度的減少、控制和消除有害物質對員工健康及環境的影響，""}<end_of_turn>
<eos>"
12046,No,No,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""本行將持續培訓永續金融專業人才，強化風險管理，善用金融科技，加強創新金融商品與低碳服務，發揮競爭優勢，拓展利基業務，並伺機持續於海外地區設立服務據點，以邁向本行「成為亞太地區最好的華人銀行」之願景。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12047,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為支持台達 SBT 承諾和永續採購目標，"",""evidence_status"":""Yes"",""evidence_str"":""2024 年度 ESG 問卷在氣候變遷與揭露以及環境面向新增了永續原物料以及環境衝擊管理的相關題項。問卷要求供應商提交企業碳排放資訊，設定具體的減碳目標，並提供永續原物料資源與資訊，以此更新台達綠色供應商資料庫。此外，台達亦關注供應商在各類管理系統（環境、職業安全衛生、能源管理）能力的建置狀態，在收集問卷填答結果後，會檢視關鍵資訊（如確認必要證書等）。透過供應商的 ESG 年度問卷數據，作為未來策略制定的重要依據。""}<end_of_turn>
<eos>"
12048,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為能妥善因應重大資料事故，"",""evidence_status"":""Yes"",""evidence_str"":""本公司訂定個資通報處理及應變程序，於事件發生第一時間啟動對公司內部及對主管機關之通報，並設立個資緊急事故應變小組，由總經理擔任召集人，召開緊急應變小組會議，成員包括應變中心指揮官、資訊、法遵、法務等功能單位，就其職責及事故情形協助事件單位採取應變措施，調查事故原因及控制損害，並於資料事故處理完成後，研議矯正及預防措施。""}<end_of_turn>
<eos>"
12049,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""承諾在氣候變遷議題上達成「企業自主減碳」、「揭露氣候變遷資訊」、「參與氣候政策」、「轉型電動車與普及充電設施」、「推動 100% 再生電力」以及「揭露自然與生物多樣性資訊」，"",""evidence_status"":""Yes"",""evidence_str"":""並於 2024 年成為自然相關財務揭露 (Taskforce on Nature-related Financial Disclosures，簡稱 TNFD) Early Adopter。""}<end_of_turn>
<eos>"
12050,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""以「廢棄物是錯置的資源」，以「零廢棄」作為目標，與供應鏈廠商攜手合作，將包裝材料重複使用或再利用，有效減少廢棄物產出量。"",""evidence_status"":""Yes"",""evidence_str"":""高雄廠於 2022 年成立塑膠循環中心，將分散在各廠區的廢塑膠集中、分類管理。以循環再生為概念，找尋新技術，將廢棄物泡棉處理技術力精進，將過去僅能回收再製為固態再生燃料 (SRF) 產品的廢棄物，提煉再製為塑膠粒，增加廢棄物再利用途徑。""}<end_of_turn>
<eos>"
12051,No,,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為配合國家2050淨零排放目標，本公司已於2024年6月正式審核通過SBT減碳目標，設定範疇一、二減碳路徑符合全球升溫不超過1.5°C之目標，自身營運至2035年預計較基準年2022年減少63%碳排量。"",""evidence_status"":""Yes"",""evidence_str"":""本公司暨合併財報內子公司全數營運據點已完成2024年範疇一及二排放量之盤查及確信作業，碳盤查標準係根據ISO14064-1，合計碳排放量為18,409.01公噸CO2e，並於2025年4月取得SGS查證證書，其中範疇一排放以公務車用油、發電機柴油及瓦斯為主、範疇二排放則以用電為主。  • 2024年減碳目標達成進度  範疇一及二：  2024年減碳目標："
12052,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12053,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""持續性的加入新血作為組織創新的來源。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年新進正式人員共計 60 人，占總人數 1.18%，新進同仁年齡多在 30 歲以下，占總人數 1%，""}<end_of_turn>
<eos>"
12054,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12055,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""統一超商將持續推動門市、辦公室節能以及物流運輸之減碳行動，並評估擴大設置太陽光電或是購買再生能源，以逐步達成承諾之 2025 年減量目標。"",""evidence_status"":""Yes"",""evidence_str"":""經溫室氣體盤查，2024 年度所有盤查據點使用的外購電力為 114,284.34 萬度，造成的間接溫室氣體排放量為 564,564.64 公噸 CO₂e，相較 2023 年排放量上升 9.9%，外購電力用電度數較 2023 年增加 10.10%，主要原因是門市增加 249 家且門市配合疫情消費者改變購物習慣，增加許多冷凍冰箱及電子螢幕還有製冰機等設備。""}<end_of_turn>
<eos>"
12056,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""承諾於 2050 年達成淨零碳排 Net Zero。"",""evidence_status"":""Yes"",""evidence_str"":""加入「台灣淨零排放協會」， ｜ 落實 TCFD 相關評估進行風險分析，並以機構投資人身份簽署 CDP 計畫。""}<end_of_turn>
<eos>"
12057,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""期待他們未來能勇敢跨出自己的舒適圈，擁抱更大的世界。"",""evidence_status"":""Yes"",""evidence_str"":""今年暑假，聯電聖心課輔班與清大國際志工團合作，安排學生與史瓦帝尼阿彌陀佛關懷中心的孩子們進行視訊互動。兩邊的孩子充滿好奇地交流日常生活，雖然生長環境不同，卻發現許多相似之處：大家都喜歡唱歌、跳舞、書畫，下課喜歡和朋友聊天、打球，甚至上課不小心打瞌睡的經歷都一樣有趣！學生們還一起線上合唱，透過共同的次文化語言拉近了彼此的距離。""}<end_of_turn>
<eos>"
12058,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""除每年定期執行全廠區風險評估外，員工日常作業若有發現潛在職業安全衛生之風險時，亦可透過內部管道反映，以消弭可能導致職業傷害或職業疾病之危害因子，避免事故發生。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年台灣、中國大陸地區及子公司乾坤一同開發及導入變更管理申請及審查之電子系統，透過便利的電子化作業，提升同仁申請變更審查之便利性及時效性，有效落實機械設備源頭管理。""}<end_of_turn>
<eos>"
12059,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12060,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為了提升員工在多元文化職場中的溝通與協作能力，研華於 2024 年開設兩場專題講座。"",""evidence_status"":""Yes"",""evidence_str"":""第一場：親子溝通講座，主要在幫助員工改善親子溝通，探討家庭文化差異與跨世代問題，共吸引 219 位員工參與。第二場：跨文化溝通管理講座，專注於多國籍團隊的溝通與管理，幫助團隊管理技巧，共有 74 位員工參與。透過這些課程，研華希望營造包容的工作環境，幫助員工在多元文化中發揮潛力，推動企業長期發展。""}<end_of_turn>
<eos>"
12061,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""透過外派輪調讓具潛力同仁得以歷練不同地區職務，並藉以擴充全球研發量能。"",""evidence_status"":""Yes"",""evidence_str"":""歷練條件分為跨功能、跨組織、跨地區三大項，並將外派輪調加速政策結合晉升制度，列入其審核條件，同步與各區協作，提早為關鍵人才職涯佈局，確保人才承擔重要職責時，能有相應的經驗與磨練。另外也訂定晉升專業職的判斷指標，作為技術委員會及人事評議委員會的審核參考。2024 年關鍵人才輪調滿兩年比例較去年增加 5%，其中外派比例較去年增加 6%。""}<end_of_turn>
<eos>"
12062,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""將於2025年第3季取得碳中和認證。"",""evidence_status"":""Yes"",""evidence_str"":""凱基金控總部大樓全年使用綠電達 83.5%，並註銷1,055公噸碳權進行碳抵換，""}<end_of_turn>
<eos>"
