id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12121,Yes,1,yes,soft_vote,score_no=0.18189261;score_yes=0.81810739;n_members=5
12122,Yes,1,yes,soft_vote,score_no=0.00007825;score_yes=0.99992177;n_members=5
12123,No,0,yes,soft_vote,score_no=0.99986120;score_yes=0.00013880;n_members=5
12124,Yes,1,yes,soft_vote,score_no=0.00001491;score_yes=0.99998510;n_members=5
12125,Yes,1,yes,soft_vote,score_no=0.00005695;score_yes=0.99994304;n_members=5
12126,Yes,1,yes,soft_vote,score_no=0.00014751;score_yes=0.99985249;n_members=5
12127,Yes,1,yes,soft_vote,score_no=0.00003084;score_yes=0.99996917;n_members=5
12128,Yes,1,yes,soft_vote,score_no=0.00040430;score_yes=0.99959570;n_members=5
12129,Yes,1,yes,soft_vote,score_no=0.00314328;score_yes=0.99685673;n_members=5
12130,Yes,1,yes,soft_vote,score_no=0.00016582;score_yes=0.99983418;n_members=5
12131,Yes,1,yes,soft_vote,score_no=0.00006173;score_yes=0.99993827;n_members=5
12132,Yes,1,yes,soft_vote,score_no=0.00041958;score_yes=0.99958043;n_members=5
12133,No,0,yes,soft_vote,score_no=0.94289329;score_yes=0.05710670;n_members=5
12134,Yes,1,yes,soft_vote,score_no=0.00000976;score_yes=0.99999025;n_members=5
12135,No,0,yes,soft_vote,score_no=0.55423866;score_yes=0.44576136;n_members=5
12136,Yes,1,yes,soft_vote,score_no=0.01031891;score_yes=0.98968110;n_members=5
12137,Yes,1,yes,soft_vote,score_no=0.00016041;score_yes=0.99983961;n_members=5
12138,Yes,1,yes,soft_vote,score_no=0.00001114;score_yes=0.99998886;n_members=5
12139,Yes,1,yes,soft_vote,score_no=0.00000936;score_yes=0.99999066;n_members=5
12140,No,0,yes,soft_vote,score_no=0.99805826;score_yes=0.00194174;n_members=5
12141,Yes,1,yes,soft_vote,score_no=0.05419863;score_yes=0.94580135;n_members=5
12142,Yes,1,yes,soft_vote,score_no=0.34142283;score_yes=0.65857712;n_members=5
12143,Yes,1,yes,soft_vote,score_no=0.00017113;score_yes=0.99982889;n_members=5
12144,Yes,1,yes,soft_vote,score_no=0.00007743;score_yes=0.99992260;n_members=5
12145,Yes,1,yes,soft_vote,score_no=0.00004698;score_yes=0.99995301;n_members=5
12146,Yes,1,yes,soft_vote,score_no=0.00000823;score_yes=0.99999177;n_members=5
12147,Yes,1,yes,soft_vote,score_no=0.00002659;score_yes=0.99997344;n_members=5
12148,Yes,1,yes,soft_vote,score_no=0.00096903;score_yes=0.99903098;n_members=5
12149,No,0,yes,soft_vote,score_no=0.99997349;score_yes=0.00002648;n_members=5
12150,Yes,1,yes,soft_vote,score_no=0.00039361;score_yes=0.99960637;n_members=5
12151,Yes,1,yes,soft_vote,score_no=0.24200240;score_yes=0.75799761;n_members=5
12152,Yes,1,yes,soft_vote,score_no=0.46612278;score_yes=0.53387722;n_members=5
12153,Yes,1,yes,soft_vote,score_no=0.00007838;score_yes=0.99992158;n_members=5
12154,Yes,1,yes,soft_vote,score_no=0.00299589;score_yes=0.99700410;n_members=5
12155,Yes,1,yes,soft_vote,score_no=0.00331706;score_yes=0.99668293;n_members=5
12156,No,0,yes,soft_vote,score_no=0.99763818;score_yes=0.00236183;n_members=5
12157,Yes,1,yes,soft_vote,score_no=0.00007116;score_yes=0.99992885;n_members=5
12158,Yes,1,yes,soft_vote,score_no=0.00023046;score_yes=0.99976957;n_members=5
12159,Yes,1,yes,soft_vote,score_no=0.00011785;score_yes=0.99988213;n_members=5
12160,Yes,1,yes,soft_vote,score_no=0.00539894;score_yes=0.99460106;n_members=5
12161,No,0,yes,soft_vote,score_no=0.91862529;score_yes=0.08137471;n_members=5
12162,Yes,1,yes,soft_vote,score_no=0.00348688;score_yes=0.99651310;n_members=5
12163,Yes,1,yes,soft_vote,score_no=0.00100916;score_yes=0.99899083;n_members=5
12164,Yes,1,yes,soft_vote,score_no=0.00010318;score_yes=0.99989680;n_members=5
12165,Yes,1,yes,soft_vote,score_no=0.00016754;score_yes=0.99983248;n_members=5
12166,Yes,1,yes,soft_vote,score_no=0.00002577;score_yes=0.99997423;n_members=5
12167,Yes,1,yes,soft_vote,score_no=0.00002721;score_yes=0.99997280;n_members=5
12168,Yes,1,yes,soft_vote,score_no=0.00007506;score_yes=0.99992495;n_members=5
12169,Yes,1,yes,soft_vote,score_no=0.00015084;score_yes=0.99984914;n_members=5
12170,Yes,1,yes,soft_vote,score_no=0.00002639;score_yes=0.99997363;n_members=5
12171,Yes,1,yes,soft_vote,score_no=0.00006007;score_yes=0.99993994;n_members=5
12172,No,0,yes,soft_vote,score_no=0.98884441;score_yes=0.01115562;n_members=5
12173,No,0,yes,soft_vote,score_no=0.99988885;score_yes=0.00011115;n_members=5
12174,Yes,1,yes,soft_vote,score_no=0.00015798;score_yes=0.99984201;n_members=5
12175,No,0,yes,soft_vote,score_no=0.99998052;score_yes=0.00001950;n_members=5
12176,Yes,1,yes,soft_vote,score_no=0.00002266;score_yes=0.99997733;n_members=5
12177,Yes,1,yes,soft_vote,score_no=0.01036567;score_yes=0.98963432;n_members=5
12178,No,0,yes,soft_vote,score_no=0.99894030;score_yes=0.00105971;n_members=5
12179,Yes,1,yes,soft_vote,score_no=0.00008423;score_yes=0.99991577;n_members=5
12180,Yes,1,yes,soft_vote,score_no=0.00002967;score_yes=0.99997032;n_members=5
12181,Yes,1,yes,soft_vote,score_no=0.00001495;score_yes=0.99998505;n_members=5
12182,Yes,1,yes,soft_vote,score_no=0.00150572;score_yes=0.99849429;n_members=5
12183,Yes,1,yes,soft_vote,score_no=0.00028885;score_yes=0.99971114;n_members=5
12184,Yes,1,yes,soft_vote,score_no=0.00004953;score_yes=0.99995043;n_members=5
12185,Yes,1,yes,soft_vote,score_no=0.00002189;score_yes=0.99997814;n_members=5
12186,Yes,1,yes,soft_vote,score_no=0.00016217;score_yes=0.99983783;n_members=5
12187,Yes,1,yes,soft_vote,score_no=0.00219912;score_yes=0.99780086;n_members=5
12188,No,0,yes,soft_vote,score_no=0.99494383;score_yes=0.00505617;n_members=5
12189,Yes,1,yes,soft_vote,score_no=0.00001970;score_yes=0.99998028;n_members=5
12190,No,0,yes,soft_vote,score_no=0.99995871;score_yes=0.00004128;n_members=5
12191,Yes,1,yes,soft_vote,score_no=0.06979551;score_yes=0.93020448;n_members=5
12192,Yes,1,yes,soft_vote,score_no=0.00001902;score_yes=0.99998095;n_members=5
12193,Yes,1,yes,soft_vote,score_no=0.00006339;score_yes=0.99993663;n_members=5
12194,No,0,yes,soft_vote,score_no=0.99977118;score_yes=0.00022883;n_members=5
12195,No,0,yes,soft_vote,score_no=0.97609126;score_yes=0.02390878;n_members=5
12196,No,0,yes,soft_vote,score_no=0.99990520;score_yes=0.00009481;n_members=5
12197,Yes,1,yes,soft_vote,score_no=0.00130684;score_yes=0.99869317;n_members=5
12198,Yes,1,yes,soft_vote,score_no=0.00015038;score_yes=0.99984964;n_members=5
12199,Yes,1,yes,soft_vote,score_no=0.00005871;score_yes=0.99994130;n_members=5
12200,Yes,1,yes,soft_vote,score_no=0.00001082;score_yes=0.99998920;n_members=5
12201,Yes,1,yes,soft_vote,score_no=0.00005932;score_yes=0.99994071;n_members=5
12202,Yes,1,yes,soft_vote,score_no=0.00849204;score_yes=0.99150796;n_members=5
12203,Yes,1,yes,soft_vote,score_no=0.00003774;score_yes=0.99996226;n_members=5
12204,Yes,1,yes,soft_vote,score_no=0.00005512;score_yes=0.99994491;n_members=5
12205,Yes,1,yes,soft_vote,score_no=0.08910578;score_yes=0.91089421;n_members=5
12206,Yes,1,yes,soft_vote,score_no=0.00021885;score_yes=0.99978113;n_members=5
12207,No,0,yes,soft_vote,score_no=0.79440249;score_yes=0.20559753;n_members=5
12208,Yes,1,yes,soft_vote,score_no=0.28902424;score_yes=0.71097579;n_members=5
12209,Yes,1,yes,soft_vote,score_no=0.00001459;score_yes=0.99998543;n_members=5
12210,Yes,1,yes,soft_vote,score_no=0.00009198;score_yes=0.99990803;n_members=5
12211,Yes,1,yes,soft_vote,score_no=0.00001188;score_yes=0.99998813;n_members=5
12212,Yes,1,yes,soft_vote,score_no=0.00033658;score_yes=0.99966341;n_members=5
12213,Yes,1,yes,soft_vote,score_no=0.00003964;score_yes=0.99996037;n_members=5
12214,Yes,1,yes,soft_vote,score_no=0.00017689;score_yes=0.99982310;n_members=5
12215,Yes,1,yes,soft_vote,score_no=0.00005160;score_yes=0.99994838;n_members=5
12216,Yes,1,yes,soft_vote,score_no=0.00005228;score_yes=0.99994769;n_members=5
12217,Yes,1,yes,soft_vote,score_no=0.00033204;score_yes=0.99966795;n_members=5
12218,Yes,1,yes,soft_vote,score_no=0.00086472;score_yes=0.99913529;n_members=5
12219,Yes,1,yes,soft_vote,score_no=0.01414713;score_yes=0.98585285;n_members=5
12220,No,0,yes,soft_vote,score_no=0.74497248;score_yes=0.25502754;n_members=5
12221,Yes,1,yes,soft_vote,score_no=0.00035398;score_yes=0.99964598;n_members=5
12222,No,0,yes,soft_vote,score_no=0.99839408;score_yes=0.00160592;n_members=5
12223,Yes,1,yes,soft_vote,score_no=0.00001217;score_yes=0.99998782;n_members=5
12224,Yes,1,yes,soft_vote,score_no=0.00013176;score_yes=0.99986823;n_members=5
12225,Yes,1,yes,soft_vote,score_no=0.00011050;score_yes=0.99988950;n_members=5
12226,Yes,1,yes,soft_vote,score_no=0.24432986;score_yes=0.75567014;n_members=5
12227,No,0,yes,soft_vote,score_no=0.99132838;score_yes=0.00867165;n_members=5
12228,Yes,1,yes,soft_vote,score_no=0.00001143;score_yes=0.99998856;n_members=5
12229,Yes,1,yes,soft_vote,score_no=0.00007691;score_yes=0.99992310;n_members=5
12230,Yes,1,yes,soft_vote,score_no=0.36261805;score_yes=0.63738195;n_members=5
12231,Yes,1,yes,soft_vote,score_no=0.00003744;score_yes=0.99996254;n_members=5
12232,Yes,1,yes,soft_vote,score_no=0.00282099;score_yes=0.99717902;n_members=5
12233,Yes,1,yes,soft_vote,score_no=0.00001169;score_yes=0.99998829;n_members=5
12234,Yes,1,yes,soft_vote,score_no=0.00009423;score_yes=0.99990577;n_members=5
12235,Yes,1,yes,soft_vote,score_no=0.00004663;score_yes=0.99995336;n_members=5
12236,Yes,1,yes,soft_vote,score_no=0.00045228;score_yes=0.99954774;n_members=5
12237,Yes,1,yes,soft_vote,score_no=0.00038487;score_yes=0.99961512;n_members=5
12238,Yes,1,yes,soft_vote,score_no=0.00004473;score_yes=0.99995527;n_members=5
12239,Yes,1,yes,soft_vote,score_no=0.00036578;score_yes=0.99963424;n_members=5
12240,Yes,1,yes,soft_vote,score_no=0.00010875;score_yes=0.99989122;n_members=5
12241,Yes,1,yes,soft_vote,score_no=0.00002052;score_yes=0.99997947;n_members=5
12242,Yes,1,yes,soft_vote,score_no=0.00017642;score_yes=0.99982358;n_members=5
12243,Yes,1,yes,soft_vote,score_no=0.00003120;score_yes=0.99996879;n_members=5
12244,No,0,yes,soft_vote,score_no=0.89874500;score_yes=0.10125497;n_members=5
12245,Yes,1,yes,soft_vote,score_no=0.00001614;score_yes=0.99998383;n_members=5
12246,Yes,1,yes,soft_vote,score_no=0.00001774;score_yes=0.99998228;n_members=5
12247,No,0,yes,soft_vote,score_no=0.99995012;score_yes=0.00004985;n_members=5
12248,Yes,1,yes,soft_vote,score_no=0.00003065;score_yes=0.99996932;n_members=5
12249,Yes,1,yes,soft_vote,score_no=0.00000988;score_yes=0.99999011;n_members=5
12250,No,0,yes,soft_vote,score_no=0.99959762;score_yes=0.00040237;n_members=5
12251,Yes,1,yes,soft_vote,score_no=0.00001014;score_yes=0.99998984;n_members=5
12252,Yes,1,yes,soft_vote,score_no=0.06636537;score_yes=0.93363463;n_members=5
12253,Yes,1,yes,soft_vote,score_no=0.00004615;score_yes=0.99995384;n_members=5
12254,Yes,1,yes,soft_vote,score_no=0.39729426;score_yes=0.60270572;n_members=5
12255,Yes,1,yes,soft_vote,score_no=0.00019562;score_yes=0.99980435;n_members=5
12256,Yes,1,yes,soft_vote,score_no=0.00043888;score_yes=0.99956111;n_members=5
12257,Yes,1,yes,soft_vote,score_no=0.00001423;score_yes=0.99998579;n_members=5
12258,Yes,1,yes,soft_vote,score_no=0.00001289;score_yes=0.99998708;n_members=5
12259,Yes,1,yes,soft_vote,score_no=0.00004957;score_yes=0.99995041;n_members=5
12260,Yes,1,yes,soft_vote,score_no=0.00210750;score_yes=0.99789251;n_members=5
12261,Yes,1,yes,soft_vote,score_no=0.00029424;score_yes=0.99970576;n_members=5
12262,Yes,1,yes,soft_vote,score_no=0.00065229;score_yes=0.99934769;n_members=5
12263,Yes,1,yes,soft_vote,score_no=0.00010991;score_yes=0.99989010;n_members=5
12264,Yes,1,yes,soft_vote,score_no=0.00229085;score_yes=0.99770913;n_members=5
12265,Yes,1,yes,soft_vote,score_no=0.00001260;score_yes=0.99998739;n_members=5
12266,Yes,1,yes,soft_vote,score_no=0.00991897;score_yes=0.99008105;n_members=5
12267,No,0,yes,soft_vote,score_no=0.80664887;score_yes=0.19335112;n_members=5
12268,Yes,1,yes,soft_vote,score_no=0.00006987;score_yes=0.99993014;n_members=5
12269,Yes,1,yes,soft_vote,score_no=0.00015970;score_yes=0.99984033;n_members=5
12270,Yes,1,yes,soft_vote,score_no=0.00001126;score_yes=0.99998872;n_members=5
12271,Yes,1,yes,soft_vote,score_no=0.00032716;score_yes=0.99967283;n_members=5
12272,Yes,1,yes,soft_vote,score_no=0.11607102;score_yes=0.88392898;n_members=5
12273,Yes,1,yes,soft_vote,score_no=0.00001693;score_yes=0.99998307;n_members=5
12274,Yes,1,yes,soft_vote,score_no=0.00002749;score_yes=0.99997253;n_members=5
12275,Yes,1,yes,soft_vote,score_no=0.00012795;score_yes=0.99987205;n_members=5
12276,Yes,1,yes,soft_vote,score_no=0.00003472;score_yes=0.99996529;n_members=5
12277,No,0,yes,soft_vote,score_no=0.99985924;score_yes=0.00014074;n_members=5
12278,Yes,1,yes,soft_vote,score_no=0.00004101;score_yes=0.99995897;n_members=5
12279,No,0,yes,soft_vote,score_no=0.99836918;score_yes=0.00163084;n_members=5
12280,Yes,1,yes,soft_vote,score_no=0.00002535;score_yes=0.99997466;n_members=5
12281,Yes,1,yes,soft_vote,score_no=0.42740800;score_yes=0.57259200;n_members=5
12282,No,0,yes,soft_vote,score_no=0.99997737;score_yes=0.00002261;n_members=5
12283,Yes,1,yes,soft_vote,score_no=0.00002567;score_yes=0.99997430;n_members=5
12284,Yes,1,yes,soft_vote,score_no=0.00001823;score_yes=0.99998176;n_members=5
12285,Yes,1,yes,soft_vote,score_no=0.00000973;score_yes=0.99999027;n_members=5
12286,Yes,1,yes,soft_vote,score_no=0.00003137;score_yes=0.99996862;n_members=5
12287,No,0,yes,soft_vote,score_no=0.54258925;score_yes=0.45741078;n_members=5
12288,Yes,1,yes,soft_vote,score_no=0.02146615;score_yes=0.97853384;n_members=5
12289,Yes,1,yes,soft_vote,score_no=0.00052041;score_yes=0.99947957;n_members=5
12290,Yes,1,yes,soft_vote,score_no=0.00002029;score_yes=0.99997971;n_members=5
12291,Yes,1,yes,soft_vote,score_no=0.01996233;score_yes=0.98003768;n_members=5
12292,Yes,1,yes,soft_vote,score_no=0.00005049;score_yes=0.99994950;n_members=5
12293,Yes,1,yes,soft_vote,score_no=0.25588917;score_yes=0.74411082;n_members=5
12294,Yes,1,yes,soft_vote,score_no=0.00000852;score_yes=0.99999146;n_members=5
12295,Yes,1,yes,soft_vote,score_no=0.00001157;score_yes=0.99998841;n_members=5
12296,Yes,1,yes,soft_vote,score_no=0.00001274;score_yes=0.99998724;n_members=5
12297,Yes,1,yes,soft_vote,score_no=0.00001045;score_yes=0.99998953;n_members=5
12298,No,0,yes,soft_vote,score_no=0.99872393;score_yes=0.00127610;n_members=5
12299,No,0,yes,soft_vote,score_no=0.99996598;score_yes=0.00003401;n_members=5
12300,Yes,1,yes,soft_vote,score_no=0.00087184;score_yes=0.99912818;n_members=5
12301,No,0,yes,soft_vote,score_no=0.59886225;score_yes=0.40113777;n_members=5
12302,Yes,1,yes,soft_vote,score_no=0.00049096;score_yes=0.99950905;n_members=5
12303,Yes,1,yes,soft_vote,score_no=0.00011075;score_yes=0.99988925;n_members=5
12304,Yes,1,yes,soft_vote,score_no=0.00001979;score_yes=0.99998021;n_members=5
12305,Yes,1,yes,soft_vote,score_no=0.00063334;score_yes=0.99936664;n_members=5
12306,Yes,1,yes,soft_vote,score_no=0.00738096;score_yes=0.99261901;n_members=5
12307,Yes,1,yes,soft_vote,score_no=0.00052160;score_yes=0.99947836;n_members=5
12308,Yes,1,yes,soft_vote,score_no=0.00001410;score_yes=0.99998591;n_members=5
12309,Yes,1,yes,soft_vote,score_no=0.20637358;score_yes=0.79362645;n_members=5
12310,Yes,1,yes,soft_vote,score_no=0.00007843;score_yes=0.99992158;n_members=5
12311,Yes,1,yes,soft_vote,score_no=0.00008927;score_yes=0.99991070;n_members=5
