id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason
12029,Not Clear,1,bert_multitask,score_clear=0.10211898;score_not_clear=0.89625406;score_misleading=0.00162693
12030,Clear,0,bert_multitask,score_clear=0.87361866;score_not_clear=0.12207375;score_misleading=0.00430753
12031,Clear,0,bert_multitask,score_clear=0.86827826;score_not_clear=0.12892044;score_misleading=0.00280126
12032,Clear,0,bert_multitask,score_clear=0.82599401;score_not_clear=0.17197457;score_misleading=0.00203135
12033,Clear,0,bert_multitask,score_clear=0.97018135;score_not_clear=0.02905363;score_misleading=0.00076500
12034,Not Clear,1,bert_multitask,score_clear=0.31229338;score_not_clear=0.68638116;score_misleading=0.00132547
12035,Clear,0,bert_multitask,score_clear=0.99770868;score_not_clear=0.00173406;score_misleading=0.00055725
12036,Clear,0,bert_multitask,score_clear=0.68487591;score_not_clear=0.31296733;score_misleading=0.00215674
12037,Not Clear,1,bert_multitask,score_clear=0.11237218;score_not_clear=0.88580990;score_misleading=0.00181790
12038,Clear,0,bert_multitask,score_clear=0.99360693;score_not_clear=0.00547291;score_misleading=0.00092013
12039,Not Clear,1,bert_multitask,score_clear=0.24720246;score_not_clear=0.75032806;score_misleading=0.00246945
12040,Clear,Clear,codex_fallback,mt_conf=0.528489<0.6;codex=Clear
12041,Not Clear,1,bert_multitask,score_clear=0.10346492;score_not_clear=0.89546740;score_misleading=0.00106764
12042,Not Clear,1,bert_multitask,score_clear=0.34079292;score_not_clear=0.65478265;score_misleading=0.00442441
12043,Not Clear,1,bert_multitask,score_clear=0.34046346;score_not_clear=0.65627652;score_misleading=0.00326000
12044,Not Clear,1,bert_multitask,score_clear=0.25469771;score_not_clear=0.74223834;score_misleading=0.00306392
12045,Not Clear,1,bert_multitask,score_clear=0.07107162;score_not_clear=0.92764103;score_misleading=0.00128729
12046,Not Clear,1,bert_multitask,score_clear=0.10198391;score_not_clear=0.89673960;score_misleading=0.00127653
12047,Clear,0,bert_multitask,score_clear=0.71174765;score_not_clear=0.28589824;score_misleading=0.00235409
12048,Clear,0,bert_multitask,score_clear=0.82962161;score_not_clear=0.16852258;score_misleading=0.00185587
12049,Clear,0,bert_multitask,score_clear=0.90328014;score_not_clear=0.09360926;score_misleading=0.00311060
12050,Clear,Clear,codex_fallback,mt_conf=0.575536<0.6;codex=Clear
12051,Clear,0,bert_multitask,score_clear=0.99805671;score_not_clear=0.00121993;score_misleading=0.00072338
12052,Clear,0,bert_multitask,score_clear=0.98733562;score_not_clear=0.01013988;score_misleading=0.00252451
12053,Clear,0,bert_multitask,score_clear=0.98504758;score_not_clear=0.01394313;score_misleading=0.00100932
12054,Clear,0,bert_multitask,score_clear=0.94813454;score_not_clear=0.04948208;score_misleading=0.00238335
12055,Clear,0,bert_multitask,score_clear=0.99744982;score_not_clear=0.00169808;score_misleading=0.00085205
12056,Clear,0,bert_multitask,score_clear=0.96338296;score_not_clear=0.03407574;score_misleading=0.00254131
12057,Not Clear,Not Clear,codex_fallback,mt_conf=0.548947<0.6;codex=Not Clear
12058,Clear,0,bert_multitask,score_clear=0.83203900;score_not_clear=0.16659610;score_misleading=0.00136489
12059,Clear,0,bert_multitask,score_clear=0.89767164;score_not_clear=0.09920769;score_misleading=0.00312065
12060,Clear,0,bert_multitask,score_clear=0.97199160;score_not_clear=0.02668942;score_misleading=0.00131890
12061,Clear,0,bert_multitask,score_clear=0.98310214;score_not_clear=0.01560744;score_misleading=0.00129044
12062,Clear,0,bert_multitask,score_clear=0.97480339;score_not_clear=0.02393696;score_misleading=0.00125961
12063,Clear,0,bert_multitask,score_clear=0.65157628;score_not_clear=0.34403473;score_misleading=0.00438904
12064,Clear,0,bert_multitask,score_clear=0.99788254;score_not_clear=0.00156818;score_misleading=0.00054927
12065,Clear,0,bert_multitask,score_clear=0.98425978;score_not_clear=0.01488277;score_misleading=0.00085745
12066,Clear,0,bert_multitask,score_clear=0.95443833;score_not_clear=0.04362796;score_misleading=0.00193380
12067,Clear,0,bert_multitask,score_clear=0.96073568;score_not_clear=0.03664558;score_misleading=0.00261871
12068,Not Clear,1,bert_multitask,score_clear=0.11395454;score_not_clear=0.88390160;score_misleading=0.00214391
12069,Not Clear,1,bert_multitask,score_clear=0.01132234;score_not_clear=0.98810983;score_misleading=0.00056775
12070,Clear,0,bert_multitask,score_clear=0.99690127;score_not_clear=0.00246170;score_misleading=0.00063707
12071,Clear,0,bert_multitask,score_clear=0.77407086;score_not_clear=0.22306713;score_misleading=0.00286203
12072,Clear,0,bert_multitask,score_clear=0.96603864;score_not_clear=0.03138809;score_misleading=0.00257328
12073,Clear,0,bert_multitask,score_clear=0.97044826;score_not_clear=0.02814289;score_misleading=0.00140886
12074,Not Clear,1,bert_multitask,score_clear=0.30589056;score_not_clear=0.69223946;score_misleading=0.00186997
12075,Clear,0,bert_multitask,score_clear=0.98694408;score_not_clear=0.01208483;score_misleading=0.00097114
12076,Clear,0,bert_multitask,score_clear=0.63950187;score_not_clear=0.35392681;score_misleading=0.00657133
12077,Clear,0,bert_multitask,score_clear=0.98772776;score_not_clear=0.01118259;score_misleading=0.00108959
12078,Clear,0,bert_multitask,score_clear=0.99240816;score_not_clear=0.00699673;score_misleading=0.00059505
12079,Clear,0,bert_multitask,score_clear=0.96845251;score_not_clear=0.03033732;score_misleading=0.00121016
12080,Clear,0,bert_multitask,score_clear=0.98712188;score_not_clear=0.01181061;score_misleading=0.00106757
12081,Clear,0,bert_multitask,score_clear=0.99212331;score_not_clear=0.00670122;score_misleading=0.00117551
12082,Clear,0,bert_multitask,score_clear=0.92404121;score_not_clear=0.07471391;score_misleading=0.00124480
12083,Clear,0,bert_multitask,score_clear=0.81681418;score_not_clear=0.18038043;score_misleading=0.00280536
12084,Clear,0,bert_multitask,score_clear=0.88401031;score_not_clear=0.11052299;score_misleading=0.00546672
12085,Not Clear,1,bert_multitask,score_clear=0.04916626;score_not_clear=0.94969988;score_misleading=0.00113386
12086,Clear,0,bert_multitask,score_clear=0.98764753;score_not_clear=0.01054375;score_misleading=0.00180861
12087,Clear,0,bert_multitask,score_clear=0.94932795;score_not_clear=0.04924905;score_misleading=0.00142301
12088,Clear,0,bert_multitask,score_clear=0.91945368;score_not_clear=0.07719872;score_misleading=0.00334763
12089,Clear,Clear,codex_fallback,mt_conf=0.547314<0.6;codex=Clear
12090,Clear,Clear,codex_fallback,mt_conf=0.532902<0.6;codex=Clear
12091,Not Clear,Not Clear,codex_fallback,mt_conf=0.537936<0.6;codex=Not Clear
12092,Not Clear,Not Clear,codex_fallback,mt_conf=0.575323<0.6;codex=Not Clear
12093,Not Clear,1,bert_multitask,score_clear=0.07516479;score_not_clear=0.92246163;score_misleading=0.00237355
12094,Clear,0,bert_multitask,score_clear=0.93131411;score_not_clear=0.06675462;score_misleading=0.00193117
12095,Not Clear,1,bert_multitask,score_clear=0.03131201;score_not_clear=0.96769989;score_misleading=0.00098811
12096,Clear,Clear,codex_fallback,mt_conf=0.582505<0.6;codex=Clear
12097,Clear,0,bert_multitask,score_clear=0.99900585;score_not_clear=0.00039504;score_misleading=0.00059914
12098,Clear,0,bert_multitask,score_clear=0.92905831;score_not_clear=0.06884288;score_misleading=0.00209874
12099,Not Clear,1,bert_multitask,score_clear=0.01330467;score_not_clear=0.98561072;score_misleading=0.00108454
12100,Clear,0,bert_multitask,score_clear=0.87989771;score_not_clear=0.11867617;score_misleading=0.00142607
12101,Not Clear,1,bert_multitask,score_clear=0.29123583;score_not_clear=0.70705116;score_misleading=0.00171296
12102,Clear,0,bert_multitask,score_clear=0.97762442;score_not_clear=0.02009300;score_misleading=0.00228260
12103,Not Clear,1,bert_multitask,score_clear=0.01116276;score_not_clear=0.98808062;score_misleading=0.00075655
12104,Clear,0,bert_multitask,score_clear=0.83657187;score_not_clear=0.16109982;score_misleading=0.00232837
12105,Clear,0,bert_multitask,score_clear=0.80128956;score_not_clear=0.19680026;score_misleading=0.00191028
12106,Clear,0,bert_multitask,score_clear=0.87547731;score_not_clear=0.12257354;score_misleading=0.00194917
12107,Clear,0,bert_multitask,score_clear=0.95669335;score_not_clear=0.04164838;score_misleading=0.00165820
12108,Clear,0,bert_multitask,score_clear=0.97050494;score_not_clear=0.02712691;score_misleading=0.00236816
12109,Clear,0,bert_multitask,score_clear=0.99775058;score_not_clear=0.00160221;score_misleading=0.00064716
12110,Not Clear,1,bert_multitask,score_clear=0.08982342;score_not_clear=0.90659171;score_misleading=0.00358487
12111,Clear,0,bert_multitask,score_clear=0.99815911;score_not_clear=0.00115277;score_misleading=0.00068813
12112,Clear,0,bert_multitask,score_clear=0.97767389;score_not_clear=0.02092365;score_misleading=0.00140259
12113,Clear,0,bert_multitask,score_clear=0.97587085;score_not_clear=0.02323885;score_misleading=0.00089029
12114,Clear,0,bert_multitask,score_clear=0.85807246;score_not_clear=0.14002754;score_misleading=0.00190004
12115,Not Clear,1,bert_multitask,score_clear=0.19659327;score_not_clear=0.80019760;score_misleading=0.00320913
12116,Not Clear,1,bert_multitask,score_clear=0.16791478;score_not_clear=0.83009911;score_misleading=0.00198613
12117,Clear,0,bert_multitask,score_clear=0.99070615;score_not_clear=0.00722770;score_misleading=0.00206619
12118,Clear,Clear,codex_fallback,mt_conf=0.505539<0.6;codex=Clear
12119,Clear,0,bert_multitask,score_clear=0.61141771;score_not_clear=0.38704225;score_misleading=0.00154003
12120,Clear,0,bert_multitask,score_clear=0.82691300;score_not_clear=0.17144419;score_misleading=0.00164287
12121,Clear,Clear,codex_fallback,mt_conf=0.569349<0.6;codex=Clear
12122,Clear,0,bert_multitask,score_clear=0.85934502;score_not_clear=0.13660939;score_misleading=0.00404565
12123,Not Clear,1,bert_multitask,score_clear=0.02090774;score_not_clear=0.97762918;score_misleading=0.00146304
12124,Clear,0,bert_multitask,score_clear=0.99192423;score_not_clear=0.00695272;score_misleading=0.00112316
12125,Clear,Clear,codex_fallback,mt_conf=0.504038<0.6;codex=Clear
12126,Clear,0,bert_multitask,score_clear=0.89472222;score_not_clear=0.10154396;score_misleading=0.00373378
12127,Clear,0,bert_multitask,score_clear=0.95883954;score_not_clear=0.04002053;score_misleading=0.00113997
12128,Not Clear,1,bert_multitask,score_clear=0.09170412;score_not_clear=0.90745574;score_misleading=0.00084017
12129,Not Clear,1,bert_multitask,score_clear=0.25994298;score_not_clear=0.73379833;score_misleading=0.00625866
12130,Clear,0,bert_multitask,score_clear=0.89936054;score_not_clear=0.09763813;score_misleading=0.00300135
12131,Clear,0,bert_multitask,score_clear=0.84591895;score_not_clear=0.15167689;score_misleading=0.00240412
12132,Clear,0,bert_multitask,score_clear=0.98322970;score_not_clear=0.01448945;score_misleading=0.00228095
12133,Clear,Clear,codex_fallback,mt_conf=0.590830<0.6;codex=Clear
12134,Clear,0,bert_multitask,score_clear=0.98940104;score_not_clear=0.00968411;score_misleading=0.00091494
12135,Clear,0,bert_multitask,score_clear=0.87271279;score_not_clear=0.12382890;score_misleading=0.00345819
12136,Clear,0,bert_multitask,score_clear=0.96494937;score_not_clear=0.03370331;score_misleading=0.00134735
12137,Clear,0,bert_multitask,score_clear=0.78080010;score_not_clear=0.21622826;score_misleading=0.00297165
12138,Clear,0,bert_multitask,score_clear=0.99891460;score_not_clear=0.00066814;score_misleading=0.00041725
12139,Clear,0,bert_multitask,score_clear=0.96339226;score_not_clear=0.03577142;score_misleading=0.00083625
12140,Clear,Clear,codex_fallback,mt_conf=0.503877<0.6;codex=Clear
12141,Clear,Clear,codex_fallback,mt_conf=0.566612<0.6;codex=Clear
12142,Not Clear,1,bert_multitask,score_clear=0.12161513;score_not_clear=0.87715888;score_misleading=0.00122601
12143,Clear,Clear,codex_fallback,mt_conf=0.531606<0.6;codex=Clear
12144,Clear,0,bert_multitask,score_clear=0.99236828;score_not_clear=0.00661349;score_misleading=0.00101820
12145,Clear,0,bert_multitask,score_clear=0.88636512;score_not_clear=0.11188605;score_misleading=0.00174882
12146,Clear,0,bert_multitask,score_clear=0.99786770;score_not_clear=0.00144836;score_misleading=0.00068391
12147,Not Clear,Not Clear,codex_fallback,mt_conf=0.539210<0.6;codex=Not Clear
12148,Clear,0,bert_multitask,score_clear=0.98930246;score_not_clear=0.00963718;score_misleading=0.00106034
12149,Not Clear,1,bert_multitask,score_clear=0.05165229;score_not_clear=0.94630831;score_misleading=0.00203937
12150,Clear,0,bert_multitask,score_clear=0.98915356;score_not_clear=0.00890569;score_misleading=0.00194065
12151,Not Clear,1,bert_multitask,score_clear=0.13825181;score_not_clear=0.85949343;score_misleading=0.00225478
12152,Clear,0,bert_multitask,score_clear=0.93656945;score_not_clear=0.06109443;score_misleading=0.00233609
12153,Clear,0,bert_multitask,score_clear=0.96905500;score_not_clear=0.03003534;score_misleading=0.00090968
12154,Clear,0,bert_multitask,score_clear=0.96317601;score_not_clear=0.03537505;score_misleading=0.00144891
12155,Clear,0,bert_multitask,score_clear=0.99421209;score_not_clear=0.00472363;score_misleading=0.00106429
12156,Not Clear,1,bert_multitask,score_clear=0.27862838;score_not_clear=0.71690524;score_misleading=0.00446639
12157,Clear,0,bert_multitask,score_clear=0.76613593;score_not_clear=0.23179525;score_misleading=0.00206881
12158,Clear,0,bert_multitask,score_clear=0.94876742;score_not_clear=0.04919719;score_misleading=0.00203538
12159,Clear,0,bert_multitask,score_clear=0.95695364;score_not_clear=0.04200264;score_misleading=0.00104374
12160,Not Clear,1,bert_multitask,score_clear=0.16806072;score_not_clear=0.82982886;score_misleading=0.00211039
12161,Not Clear,1,bert_multitask,score_clear=0.03885471;score_not_clear=0.96006441;score_misleading=0.00108092
12162,Clear,0,bert_multitask,score_clear=0.98034781;score_not_clear=0.01865802;score_misleading=0.00099418
12163,Not Clear,1,bert_multitask,score_clear=0.37020132;score_not_clear=0.62655705;score_misleading=0.00324165
12164,Clear,0,bert_multitask,score_clear=0.90160346;score_not_clear=0.09594636;score_misleading=0.00245020
12165,Clear,0,bert_multitask,score_clear=0.98519278;score_not_clear=0.01282255;score_misleading=0.00198469
12166,Clear,0,bert_multitask,score_clear=0.99611926;score_not_clear=0.00304514;score_misleading=0.00083556
12167,Clear,0,bert_multitask,score_clear=0.90481627;score_not_clear=0.09205703;score_misleading=0.00312664
12168,Clear,0,bert_multitask,score_clear=0.91865921;score_not_clear=0.07850830;score_misleading=0.00283244
12169,Clear,0,bert_multitask,score_clear=0.84603971;score_not_clear=0.15231273;score_misleading=0.00164763
12170,Clear,0,bert_multitask,score_clear=0.94450712;score_not_clear=0.05385391;score_misleading=0.00163890
12171,Clear,0,bert_multitask,score_clear=0.79898781;score_not_clear=0.19674489;score_misleading=0.00426730
12172,Not Clear,1,bert_multitask,score_clear=0.04057257;score_not_clear=0.95804179;score_misleading=0.00138568
12173,Not Clear,1,bert_multitask,score_clear=0.05085066;score_not_clear=0.94596058;score_misleading=0.00318880
12174,Clear,0,bert_multitask,score_clear=0.87294400;score_not_clear=0.12458330;score_misleading=0.00247262
12175,Not Clear,1,bert_multitask,score_clear=0.11647601;score_not_clear=0.88026696;score_misleading=0.00325707
12176,Clear,0,bert_multitask,score_clear=0.99509120;score_not_clear=0.00409743;score_misleading=0.00081134
12177,Not Clear,1,bert_multitask,score_clear=0.28811461;score_not_clear=0.71030563;score_misleading=0.00157975
12178,Not Clear,1,bert_multitask,score_clear=0.03280031;score_not_clear=0.96555638;score_misleading=0.00164332
12179,Clear,Clear,codex_fallback,mt_conf=0.501212<0.6;codex=Clear
12180,Clear,0,bert_multitask,score_clear=0.99721390;score_not_clear=0.00230010;score_misleading=0.00048602
12181,Clear,0,bert_multitask,score_clear=0.99205619;score_not_clear=0.00733184;score_misleading=0.00061200
12182,Not Clear,1,bert_multitask,score_clear=0.06584274;score_not_clear=0.93355262;score_misleading=0.00060462
12183,Not Clear,1,bert_multitask,score_clear=0.15277508;score_not_clear=0.84472775;score_misleading=0.00249717
12184,Clear,0,bert_multitask,score_clear=0.91706908;score_not_clear=0.08101326;score_misleading=0.00191760
12185,Clear,0,bert_multitask,score_clear=0.97609222;score_not_clear=0.02246560;score_misleading=0.00144218
12186,Clear,0,bert_multitask,score_clear=0.85032082;score_not_clear=0.14754495;score_misleading=0.00213426
12187,Clear,0,bert_multitask,score_clear=0.72999066;score_not_clear=0.26551902;score_misleading=0.00449032
12188,Not Clear,1,bert_multitask,score_clear=0.09399974;score_not_clear=0.90429348;score_misleading=0.00170678
12189,Clear,0,bert_multitask,score_clear=0.63947886;score_not_clear=0.35677081;score_misleading=0.00375034
12190,Not Clear,1,bert_multitask,score_clear=0.09944344;score_not_clear=0.89730537;score_misleading=0.00325120
12191,Clear,0,bert_multitask,score_clear=0.81133670;score_not_clear=0.18600233;score_misleading=0.00266089
12192,Clear,0,bert_multitask,score_clear=0.77236712;score_not_clear=0.22631125;score_misleading=0.00132160
12193,Clear,0,bert_multitask,score_clear=0.83581877;score_not_clear=0.16185300;score_misleading=0.00232825
12194,Not Clear,1,bert_multitask,score_clear=0.05645725;score_not_clear=0.94246304;score_misleading=0.00107971
12195,Not Clear,1,bert_multitask,score_clear=0.21307021;score_not_clear=0.78515542;score_misleading=0.00177436
12196,Not Clear,1,bert_multitask,score_clear=0.15442458;score_not_clear=0.84268945;score_misleading=0.00288598
12197,Clear,0,bert_multitask,score_clear=0.99302024;score_not_clear=0.00607373;score_misleading=0.00090608
12198,Clear,0,bert_multitask,score_clear=0.80644011;score_not_clear=0.19084920;score_misleading=0.00271075
12199,Clear,0,bert_multitask,score_clear=0.91891372;score_not_clear=0.07888603;score_misleading=0.00220032
12200,Clear,0,bert_multitask,score_clear=0.97685492;score_not_clear=0.02195866;score_misleading=0.00118639
12201,Clear,0,bert_multitask,score_clear=0.79898345;score_not_clear=0.19898473;score_misleading=0.00203176
12202,Not Clear,1,bert_multitask,score_clear=0.03369662;score_not_clear=0.96559805;score_misleading=0.00070531
12203,Clear,0,bert_multitask,score_clear=0.99015117;score_not_clear=0.00931039;score_misleading=0.00053851
12204,Clear,0,bert_multitask,score_clear=0.99830234;score_not_clear=0.00086359;score_misleading=0.00083400
12205,Clear,0,bert_multitask,score_clear=0.73048103;score_not_clear=0.26576889;score_misleading=0.00375009
12206,Clear,0,bert_multitask,score_clear=0.93789083;score_not_clear=0.06044926;score_misleading=0.00165993
12207,Not Clear,1,bert_multitask,score_clear=0.06213913;score_not_clear=0.93614918;score_misleading=0.00171174
12208,Clear,0,bert_multitask,score_clear=0.62211204;score_not_clear=0.37494189;score_misleading=0.00294609
12209,Clear,0,bert_multitask,score_clear=0.89747423;score_not_clear=0.10035185;score_misleading=0.00217395
12210,Clear,Clear,codex_fallback,mt_conf=0.558601<0.6;codex=Clear
12211,Clear,0,bert_multitask,score_clear=0.99694222;score_not_clear=0.00195640;score_misleading=0.00110135
12212,Clear,0,bert_multitask,score_clear=0.95379966;score_not_clear=0.04329804;score_misleading=0.00290220
12213,Clear,0,bert_multitask,score_clear=0.62801361;score_not_clear=0.36973625;score_misleading=0.00225008
12214,Clear,0,bert_multitask,score_clear=0.99432254;score_not_clear=0.00454243;score_misleading=0.00113508
12215,Clear,0,bert_multitask,score_clear=0.95570350;score_not_clear=0.04195532;score_misleading=0.00234120
12216,Clear,0,bert_multitask,score_clear=0.89444166;score_not_clear=0.10263314;score_misleading=0.00292519
12217,Clear,0,bert_multitask,score_clear=0.66441959;score_not_clear=0.33284548;score_misleading=0.00273493
12218,Clear,0,bert_multitask,score_clear=0.95675701;score_not_clear=0.04060486;score_misleading=0.00263821
12219,Clear,0,bert_multitask,score_clear=0.88557452;score_not_clear=0.10965845;score_misleading=0.00476706
12220,Not Clear,1,bert_multitask,score_clear=0.16417114;score_not_clear=0.83334994;score_misleading=0.00247894
12221,Clear,0,bert_multitask,score_clear=0.98523939;score_not_clear=0.01323893;score_misleading=0.00152172
12222,Clear,Clear,codex_fallback,mt_conf=0.583778<0.6;codex=Clear
12223,Clear,0,bert_multitask,score_clear=0.99352348;score_not_clear=0.00559365;score_misleading=0.00088283
12224,Clear,0,bert_multitask,score_clear=0.99819535;score_not_clear=0.00101705;score_misleading=0.00078764
12225,Clear,0,bert_multitask,score_clear=0.67779738;score_not_clear=0.31676871;score_misleading=0.00543396
12226,Not Clear,1,bert_multitask,score_clear=0.21326457;score_not_clear=0.78341568;score_misleading=0.00331980
12227,Clear,Clear,codex_fallback,mt_conf=0.560207<0.6;codex=Clear
12228,Not Clear,1,bert_multitask,score_clear=0.17145340;score_not_clear=0.82723206;score_misleading=0.00131452
12229,Clear,0,bert_multitask,score_clear=0.99534434;score_not_clear=0.00383963;score_misleading=0.00081603
12230,Clear,0,bert_multitask,score_clear=0.84912676;score_not_clear=0.14436324;score_misleading=0.00650997
12231,Clear,0,bert_multitask,score_clear=0.93667859;score_not_clear=0.06201865;score_misleading=0.00130271
12232,Clear,0,bert_multitask,score_clear=0.75095057;score_not_clear=0.24734935;score_misleading=0.00170011
12233,Clear,0,bert_multitask,score_clear=0.93225133;score_not_clear=0.06641439;score_misleading=0.00133428
12234,Not Clear,1,bert_multitask,score_clear=0.36747584;score_not_clear=0.63044947;score_misleading=0.00207468
12235,Clear,Clear,codex_fallback,mt_conf=0.567466<0.6;codex=Clear
12236,Not Clear,1,bert_multitask,score_clear=0.01773868;score_not_clear=0.98086542;score_misleading=0.00139588
12237,Clear,0,bert_multitask,score_clear=0.98827702;score_not_clear=0.01054705;score_misleading=0.00117587
12238,Not Clear,Not Clear,codex_fallback,mt_conf=0.549679<0.6;codex=Not Clear
12239,Clear,0,bert_multitask,score_clear=0.92695814;score_not_clear=0.07169335;score_misleading=0.00134841
12240,Clear,0,bert_multitask,score_clear=0.94266552;score_not_clear=0.05566457;score_misleading=0.00166983
12241,Clear,0,bert_multitask,score_clear=0.99270380;score_not_clear=0.00654836;score_misleading=0.00074790
12242,Clear,0,bert_multitask,score_clear=0.88523191;score_not_clear=0.11303560;score_misleading=0.00173250
12243,Clear,0,bert_multitask,score_clear=0.97080147;score_not_clear=0.02816201;score_misleading=0.00103654
12244,Not Clear,1,bert_multitask,score_clear=0.10620705;score_not_clear=0.89024502;score_misleading=0.00354795
12245,Clear,0,bert_multitask,score_clear=0.99577159;score_not_clear=0.00331401;score_misleading=0.00091442
12246,Clear,0,bert_multitask,score_clear=0.98161685;score_not_clear=0.01716266;score_misleading=0.00122052
12247,Not Clear,1,bert_multitask,score_clear=0.00781078;score_not_clear=0.99176347;score_misleading=0.00042577
12248,Clear,0,bert_multitask,score_clear=0.92627352;score_not_clear=0.07179906;score_misleading=0.00192744
12249,Clear,0,bert_multitask,score_clear=0.99519640;score_not_clear=0.00380011;score_misleading=0.00100351
12250,Not Clear,1,bert_multitask,score_clear=0.05435668;score_not_clear=0.94436431;score_misleading=0.00127894
12251,Clear,0,bert_multitask,score_clear=0.99895954;score_not_clear=0.00056839;score_misleading=0.00047205
12252,Clear,0,bert_multitask,score_clear=0.62531477;score_not_clear=0.37143844;score_misleading=0.00324677
12253,Clear,0,bert_multitask,score_clear=0.92384261;score_not_clear=0.07464109;score_misleading=0.00151628
12254,Clear,0,bert_multitask,score_clear=0.83173203;score_not_clear=0.16198446;score_misleading=0.00628354
12255,Clear,0,bert_multitask,score_clear=0.89141440;score_not_clear=0.10581081;score_misleading=0.00277474
12256,Not Clear,1,bert_multitask,score_clear=0.08654808;score_not_clear=0.91086644;score_misleading=0.00258546
12257,Clear,0,bert_multitask,score_clear=0.99124849;score_not_clear=0.00787464;score_misleading=0.00087696
12258,Clear,0,bert_multitask,score_clear=0.99920624;score_not_clear=0.00044133;score_misleading=0.00035241
12259,Clear,0,bert_multitask,score_clear=0.93677723;score_not_clear=0.06138872;score_misleading=0.00183396
12260,Not Clear,1,bert_multitask,score_clear=0.27395678;score_not_clear=0.72180337;score_misleading=0.00423986
12261,Clear,0,bert_multitask,score_clear=0.92363185;score_not_clear=0.07541713;score_misleading=0.00095112
12262,Clear,0,bert_multitask,score_clear=0.94127047;score_not_clear=0.05684180;score_misleading=0.00188774
12263,Clear,0,bert_multitask,score_clear=0.96444535;score_not_clear=0.03371082;score_misleading=0.00184379
12264,Clear,0,bert_multitask,score_clear=0.85793579;score_not_clear=0.13807909;score_misleading=0.00398515
12265,Clear,0,bert_multitask,score_clear=0.99901736;score_not_clear=0.00034137;score_misleading=0.00064130
12266,Not Clear,1,bert_multitask,score_clear=0.17836355;score_not_clear=0.81929106;score_misleading=0.00234545
12267,Not Clear,1,bert_multitask,score_clear=0.14027958;score_not_clear=0.85641527;score_misleading=0.00330517
12268,Clear,0,bert_multitask,score_clear=0.98660594;score_not_clear=0.01224758;score_misleading=0.00114647
12269,Clear,0,bert_multitask,score_clear=0.98689538;score_not_clear=0.01174734;score_misleading=0.00135726
12270,Clear,0,bert_multitask,score_clear=0.93899786;score_not_clear=0.05922732;score_misleading=0.00177477
